,publisher_name,publisher_id
172,Hackett Pub Co Inc,172
173,W W Norton &amp; Co,173
174,Washington Square Press,174
175,Scholastic Paperbacks (Mm),175
176,Harpercollins Juvenile Books,176
177,Starfire,177
178,Last Knight Pub Co,178
179,Del Rey,179
180,Eos,180
181,St. Martin's Paperbacks,181
182,Columna,182
183,Viking Children's Books,183
184,Delacorte Press,184
185,Reader's Digest,185
186,"Editores Mexicanos Unidos, S.A.",186
187,Quill (HarperCollins),187
188,Anagrama,188
189,Douglas Gibson Books,189
190,McClelland &amp; Stewart,190
191,Arcade Publishing,191
192,Fischer Taschenbuch Verlag GmbH,192
193,Access Press (HarperCollins),193
194,John Wiley &amp; Sons Inc,194
195,Penguin USA (Paper),195
196,Scribner Paper Fiction,196
197,Pocket Books,197
198,Readers Digest Assn,198
199,Broadway Books,199
200,F. H. Revell,200
201,Baker Book House,201
202,W Publishing Group,202
203,NavPress,203
204,Pub Group West,204
205,YWAM Publishing,205
206,F.J. Moody,206
207,Emmaus Road Intl,207
208,Puffin Books,208
209,Castle Books,209
210,Llewellyn Publications,210
211,Harper Collins - UK,211
212,Silhouette,212
213,Penguin USA,213
214,Fawcett,214
215,University Press of America,215
216,Globe Pequot Pr,216
217,New York Review of Books,217
218,Artisan Publishers,218
219,Amber-Allen Publishing,219
220,Plaza &amp; JanÃ©s,220
221,Destino,221
222,Lectorum Pubns (J),222
223,Edicions 62,223
224,"Editiones B, Grupo Zeta",224
225,Laia,225
226,Editorial Laia,226
227,Edicions de la Magrana,227
228,Editorial EmpÃºries,228
229,Area,229
230,Ediciones Temas de Hoy,230
231,Salamandra,231
232,Hal Leonard Corp,232
233,Ediciones B,233
234,Dial Books,234
235,Bantam Dell Publishing Group,235
236,Jump at the Sun,236
237,I Books,237
238,Wizards of the Coast,238
239,Cornell University Press,239
240,Troll Communications Llc,240
241,Price Stern Sloan,241
242,Playmore Inc. Publishers,242
243,National Geographic Society,243
244,Kidsbooks.Com,244
245,HarperTrophy,245
246,Soho Press,246
247,Nan A. Talese,247
248,Owl Books,248
249,Readers Digest,249
250,Simon Schuster Trade,250
251,Image,251
252,Andrews McMeel Publishing,252
253,Houghton Mifflin Company,253
254,MacMillan Publishing Company.,254
255,Picador USA,255
256,Putnam Publishing Group,256
257,Random House Value Publishing,257
258,Villard Books,258
259,Morehouse Group,259
260,Ecco Press,260
261,Cowley Publications,261
262,White Pine Press (NY),262
263,Fabbri - RCS Libri,263
264,Edizioni E/O,264
265,Puffin,265
266,Harvard University Press,266
267,Saunders College Publishing,267
268,Houghton Mifflin,268
269,Schocken Books,269
270,Watson-Guptill Publications,270
271,Random House Canada,271
272,Thomas Dunne Books,272
273,Little Brown &amp; Co,273
274,Noble House,274
275,Atria Books,275
276,Winedale Publishing,276
277,Pinnacle Books,277
278,Grove Press,278
279,Editech Pr,279
280,WestBow Press,280
281,Henry Holt &amp; Company,281
282,Hyperion Books,282
283,Thorndike Pr,283
284,Zebra Books,284
285,Golden Books Publishing Company,285
286,Yearling,286
287,Apple Signature (Scholastic),287
288,"Scholastic, Inc.",288
289,Golden Books,289
290,Crabtree Publishing Company,290
291,Inner Ocean Publishing,291
292,St. Martin's Minotaur,292
293,Scholastic Inc,293
294,Albert Whitman &amp; Company,294
295,Broadway,295
296,Childrens Press,296
297,Putnam Pub Group (Paper),297
298,Griffin Trade Paperback,298
299,David R. Godine Publisher,299
300,New Directions Publishing Corporation,300
301,Jossey-Bass,301
302,Feltrinelli,302
303,HarperSanFrancisco,303
304,Multnomah,304
305,Beacon Press,305
306,Harper Mass Market Paperbacks,306
307,MacAdam/Cage Publishing,307
308,LGF,308
309,Gallimard French,309
310,Livre De Poche French,310
311,Presses Pocket French,311
312,Livre de Poche,312
313,J'ai lu,313
314,Rowohlt,314
315,Lamuv,315
316,O. W. Barth Bei Scherz,316
317,Palgrave-Macmillan,317
318,Aufbau Taschenbuch Verlag,318
319,btb,319
320,Crown,320
321,William Morrow &amp; Company,321
322,Everyman's Library,322
323,Harmony,323
324,Sourcebooks Landmark,324
325,Little Brown and Company,325
326,Michael Joseph Ltd,326
327,Seuil,327
328,Bloomsbury Pub Ltd,328
329,Penguin Putnam~trade,329
330,Lomond Books,330
331,Faber Children's Books,331
332,Abacus,332
333,Michael O'Mara Books,333
334,Trafalgar Square Books,334
335,Dargaud,335
336,Southwater Publishing,336
337,Brockhampton Press,337
338,Union gÃ©nÃ©rale d'Ã©ditions,338
339,Canongate Books Ltd,339
340,Celestial Arts,340
341,Routledge,341
342,Bloomsbury Publishing PLC,342
343,Firebrand Books,343
344,Windstorm Creative,344
345,Akashic Books,345
346,New Amer Library,346
347,Alyson Books,347
348,Rising Tide Press (AZ),348
349,Alyson Publications,349
350,Press Gang Publishers,350
351,Crimeline,351
352,Stonewall Inn Editions,352
353,Random House Children's Books,353
354,Miramax,354
355,Random House Childrens Books,355
356,Laurel-Leaf Books,356
357,Del Sol Press,357
358,Wings,358
359,Manning Publications,359
360,Ferguson Publishing Company,360
361,Einaudi,361
362,Ohio University Press,362
363,Hyperion Books for Children,363
364,Magic Carpet Books,364
365,Pleasant Company Publications,365
366,Scholastic Paperbacks,366
367,John F. Blair Publisher,367
368,Monarch Books,368
369,Flammarion,369
370,Phoenix Books,370
371,Hyperion Press,371
372,Cambridge University Press,372
373,Amereon Limited,373
374,Hill &amp; Wang,374
375,Red Dress Ink,375
376,Anchor Pub,376
377,Four Walls Eight Windows,377
378,Steeple Hill,378
379,Ten Speed Pr,379
380,Reston Pub. Co,380
381,Word Publishing,381
382,G. P. Putnam's Sons,382
383,W. Morrow,383
384,Teamcom Books,384
385,Gulf Publishing Company,385
386,Dearborn Financial Publishing,386
387,Main Street Books,387
388,"Random House, Inc.",388
389,Adams Media Corp,389
390,Mysterious Press,390
391,Mira,391
392,Harpercollins Library,392
393,Sagebrush Bound,393
394,W W Norton &amp; Co Inc,394
395,Picador,395
396,New English Library,396
397,Pearson Education,397
398,Diamond Books (NY),398
399,Yearling Books,399
400,Forge Books,400
401,Pantheon Books,401
402,Infinity Publishing.com,402
403,Buy Books on the web.com,403
404,Infinity Publishing (PA),404
405,Pantheon,405
406,Epicenter Press,406
407,Bantam Classics,407
408,Ravensburger Buchverlag Otto Maier GmbH,408
409,Black Sparrow Books,409
410,Pages Publishing Group,410
411,Point Fantasy,411
412,AuthorsOmniscient Publishers,412
413,Random House Books for Young Readers,413
414,Chatto &amp; Windus,414
415,Hackett Publishing Company,415
416,Workman Pub. Co,416
417,Barnes Noble Books,417
418,Houghton Mifflin Co,418
419,Natl Book Network,419
420,Harry N Abrams,420
421,Quest Books,421
422,The Lyons Press,422
423,Sterling Publishing,423
424,Shambhala,424
425,Hanser,425
426,Penguin Putnam~mass,426
427,Candlewick Press (MA),427
428,Girl Press,428
429,Atheneum,429
430,MTV,430
431,Baldini&amp;Castoldi,431
432,Aufbau Tb,432
433,Deutscher Taschenbuch Verlag,433
434,Taschen Verlag,434
435,Berkley Pub Group,435
436,Forge,436
437,Bull Publishing Company,437
438,Fodor's,438
439,New Chapter Press,439
440,Smithmark Pub,440
441,Everyman Paperback Classics,441
442,"Diogenes Verlag, ZÃ?Â¼rich",442
443,Faber &amp; Faber,443
444,British Film Institute,444
445,Zondervan,445
446,Zondervan Publishing Company,446
447,Harpercollins Uk,447
448,Ecco,448
449,Pan,449
450,Beltz,450
451,Not Avail,451
452,Klett-Cotta,452
453,SauerlÃ?Â¤nder,453
454,Biting Dog Publications,454
455,Editions 10/18,455
456,Henry Holt &amp; Co,456
457,Penguin/Puffin Mass Market (Mm),457
458,Workman Publishing,458
459,Marvel Books,459
460,Modern Publishing,460
461,Kriya Yoga Publications,461
462,Metropolitan Books,462
463,University of New Mexico Press,463
464,Elephant Paperbacks,464
465,Turner Pub,465
466,Daw Books,466
467,Distributors,467
468,Time Warner Books UK,468
469,Scholastic Press,469
470,Scholastic Point,470
471,The Medici Society Ltd,471
472,Award Publications,472
473,Gollancz,473
474,WaterBrook Press,474
475,Moody Publishers,475
476,University of Toronto Press,476
477,Baen,477
478,UMP,478
479,H.J. Kramer,479
480,Speak,480
481,North Atlantic Books,481
482,Kamapua'a Press,482
483,Bridge Publications,483
484,Skylark,484
485,Moderne Verlagsges. Mvg,485
486,Eichborn,486
487,Leisure Arts,487
488,Nelson Bibles,488
489,Bob Jones Univ Pr,489
490,LanctÃ´t Ã©diteur,490
491,Small Beer Press,491
492,Feminist Press,492
493,Thomas Nelson Publishers,493
494,New American Library,494
495,New Amer Library Classics,495
496,Vintage Books,496
497,Times Books,497
498,Colleccion Millenium,498
499,State University of New York Press,499
500,Basic Books,500
501,Perseus Books Group,501
502,Noonday Press,502
503,Clarkson N Potter Publishers,503
504,Columbia University Press,504
505,Scarlet Books,505
506,New Amer Library (Mm),506
507,Bet Books,507
508,Gustav Lubbe Verlag GmbH,508
509,DenoÃ?Â«l,509
510,GlÃ?Â©nat,510
511,Presses de la CitÃ?Â©,511
512,Presses De La Cite French,512
513,Advance Publishers LLC,513
514,Barron's Educational Series,514
515,Replica Books,515
516,Orchard Books,516
517,Continental Book Company,517
518,Audio Renaissance,518
519,Prentice Hall,519
520,Smithsonian Inst Pr,520
521,Univ of Nebraska Pr,521
522,Harvill Press,522
523,Chronicle Books Llc,523
524,Publications International,524
525,Story Line Press,525
526,Anchor Books/Doubleday,526
527,For Dummies,527
528,Workman Pub Co,528
529,Hawks Flight &amp; Association,529
530,Listen &amp; Live Audio,530
531,City Lights Publishers,531
532,Bedford Books,532
533,Hobblebush Books,533
534,USCCB,534
535,Our Sunday Visitor,535
536,US,536
537,Ignatius Press,537
538,Broadman &amp; Holman Pub,538
539,Kensington Publishing Corporation,539
540,Rizzoli Publications,540
541,Distribooks Int'l+inc,541
542,Thorndike Press,542
543,Stoddart Kids,543
544,Bridge Pubns,544
545,Little Brown UK Ltd,545
546,Photografix,546
547,Beaver's Pond Press,547
548,Perigee Trade,548
549,Btb Bei Goldmann,549
550,Oxford Univ Pr,550
551,Graywolf Press,551
552,New York Review Children's Collection,552
553,Random House UK Ltd (A Division of Random House Group),553
554,University of Queensland Pr (Australia),554
555,Galahad,555
556,Authors Choice Press,556
557,Intl Specialized Book Service Inc,557
558,Zondervan Publishing House,558
559,Diamond Communications,559
560,"Graham, Billy Evangelistic Association",560
561,Black Classic Press,561
562,Harper &amp; Row,562
563,Random House (Merchandising),563
564,Mason/Charter,564
565,Orca Book Publishers,565
566,Good News Pub,566
567,University of Minnesota Press,567
568,Sybex Inc,568
569,Book Sales,569
570,Leisure Books,570
571,Guinness Records,571
572,Thomson Texere,572
573,Chrysalis Books,573
574,Financial Times/Prentice Hall,574
575,McGraw-Hill/Irwin,575
576,John Wiley &amp; Sons,576
577,Black Dog &amp; Leventhal Publishers,577
578,Flamingo,578
579,Weiser Books,579
580,Fair Winds Press,580
581,Penguin Putnam~childrens Hc,581
582,"Alfaguara Ediciones, S.A. (Spain)",582
583,Ediciones Lengua de Trapo,583
584,Klett,584
585,Starscape Books,585
586,"Farrar, Straus and Giroux",586
587,Perennial Currents,587
588,Miramax Kids,588
589,Writer's Digest Books,589
590,Peachpit Press,590
591,Perigee Books,591
592,Random House Value Pub,592
593,Grosset &amp; Dunlap,593
594,VIZ LLC,594
595,Pan Books Ltd,595
596,HarperCollinsPublishers,596
597,"Plaza &amp; Janes Editores, S.A.",597
598,Dorling Kindersley,598
599,Warner Books> C/o Little Br,599
600,Barnes &amp; Noble Books-Imports,600
601,Overlook Press,601
602,Harperaudio,602
603,Lexington-Marshall Pub.,603
604,Tor Classics,604
605,Anchor Canada,605
606,Mandarin,606
607,"Acacia Press, Inc.",607
608,Ebury Press,608
609,BBC Consumer Publishing,609
610,Edhasa,610
611,Aspect,611
612,Time-Life Books,612
613,Inner Traditions International,613
614,Santillana USA Publishing Company,614
615,Alfaguara,615
616,Simon Spotlight Entertainment,616
617,Suma de Letras,617
618,Arthur A. Levine Books,618
619,Harlequin Books SA,619
620,Dorling Kindersley Publishing,620
621,Harlequin Enterprises Limited,621
622,Zebra/pinnacle Books,622
623,Baldini &amp; Castoldi,623
624,Punto de Lectura,624
625,Scott Foresman (Pearson K-12),625
626,A Different Voice Publishing Co.,626
627,Bison,627
628,Reader's Digest Association,628
629,Editions 84,629
630,Rivages,630
631,Sudamericana,631
632,Ediciones Catedra S.A.,632
633,Audio Literature,633
634,Winepress Publishing,634
635,Pelanduk Publications,635
636,Crown Business,636
637,ACE Charter,637
638,American Psychiatric Association,638
639,Robert Rose,639
640,Starscape,640
641,Liveright Publishing Corporation,641
642,McGraw-Hill Humanities/Social Sciences/Languages,642
643,Clearbridge Publishing,643
644,Souvenir Press,644
645,Tuttle Publishing,645
646,Random House Uk Ltd,646
647,Hodder Headline Australia,647
648,Methuen Publishing Ltd,648
649,Random House Children's Books (A Division of Random House Group),649
650,Scherz,650
651,Midena,651
652,Writer's Showcase Press,652
653,Maverick Publications,653
654,Barbour Publishing,654
655,Waterbrook Press,655
656,Kodansha America,656
657,New Harbinger Publications,657
658,Gotham Books,658
659,Michael Joseph,659
660,Heinemann,660
661,Phoenix mass market p/bk,661
662,Hodder Arnold Teach Yourself,662
663,Gramercy,663
664,Pearson Higher Education,664
665,Prentice Hall Art,665
666,Highbridge Audio,666
667,Algonquin Books of Chapel Hill,667
668,Cumberland House Publishing,668
669,Career Press,669
670,Alemany Press,670
671,Jeremy P. Tarcher,671
672,Orbit Book Co.,672
673,Downtown Press,673
674,Globe Fearon,674
675,Booksource,675
676,Scholastic Library Pub,676
677,AVON,677
678,Longstreet Press,678
679,Living Books,679
680,J. Laughlin,680
681,InterVarsity Press,681
682,Judy Piatkus Publishers Ltd,682
683,Universale Economica Feltrinelli,683
684,Time Warner Audio Major,684
685,Notrya Editora,685
686,NÃ³rdica,686
687,Rocco,687
688,Historia 16,688
689,Gramercy Books,689
690,Peter Bedrick Books,690
691,Parkgate Books,691
692,Routledge &amp; K. Paul,692
693,Fulcrum Publishing,693
694,Parkwest Publications,694
695,Firefly Books Ltd,695
696,Transworld Publishers Ltd,696
697,Dalesman Publishing Company Ltd,697
698,Saturday Review Press,698
699,Ramparts Press,699
700,South End Press,700
701,University of Chicago Press,701
702,New Press,702
703,Alternate Sources,703
704,Haworth Press,704
705,Random House Audio,705
706,Hay House,706
707,Penguin Putnam,707
708,New World Library,708
709,HarperAudio,709
710,McGraw Hill - NTC,710
711,Carol Pub Group,711
712,Bulfinch Press,712
713,Bhaktivedanta Book Trust,713
714,Brooks Cole,714
715,W.H. Freeman &amp; Company,715
716,Educational Development Corporation,716
717,Meadowbrook,717
718,Horizon,718
719,Penguin Putnam Books for Young Readers,719
720,Jones &amp; Bartlett Pub,720
721,W H Freeman &amp; Co,721
722,"Family CareWare, Inc.",722
723,B.T. Batsford,723
724,Chess Enterprises,724
725,Nuova Eri Rizzoli,725
726,Random House Large Print,726
727,Pond Publishing,727
728,Hoffmann &amp; Campe,728
729,Edaf,729
730,Planeta Pub Corp,730
731,Valdemar,731
732,Grupo Zeta,732
733,Debate,733
734,Ediciones SM,734
735,Apple,735
736,Adams Media Corporation,736
737,Signet Books,737
738,University of North Carolina Press,738
739,Mountaineers Books,739
740,Skylark Books,740
741,John M. Hardy,741
742,Macromedia Press,742
743,Warner Forever,743
744,Morrow Cookbooks,744
745,ReganBooks,745
746,Currency,746
747,Consortium Book Sales &amp; Dist,747
748,Wildcat Canyon Press,748
749,Frog Ltd.,749
750,Landowner Planning Center,750
751,Simon &amp; Schuster Children's Publishing,751
752,Lectorum Publications,752
753,University of Illinois Press,753
754,Dawnsign Press,754
755,Deaf Life Press,755
756,Temple University Press,756
757,Holt Rinehart and Winston,757
758,Real Comet Press,758
759,Weatherhill Inc.,759
760,"Linstok Press, Incorporated",760
761,Thorsons Publishers,761
762,Healing Art Press,762
763,Bookking International,763
764,Actes Sud,764
765,Le Livre de Poche,765
766,Donning Company Publishers,766
767,Independent Pub Group,767
768,Guernica Editions,768
769,Xlibris Corporation,769
770,Editions QuÃ©bec/AmÃ©rique,770
771,"Carhil Ventures, LLC",771
772,DAW Books,772
773,Diogenes Verlag AG,773
774,Llewellyn Pubns,774
775,"Morgan &amp; Morgan, Inc.",775
776,distributed by Houghton Mifflin,776
777,Integrity Publishers,777
778,Revell,778
779,"Red Sage Publishing,Inc",779
780,Collier Books,780
781,Dorset Press,781
782,Pan Publishing,782
783,McFarland &amp; Company,783
784,Yale University Press,784
785,Writings of Mary Baker Eddy,785
786,University of Washington Press,786
787,University of Hawaii Press,787
788,University of Georgia Press,788
789,University of Massachusetts Press,789
790,Arte Publico Press,790
791,Houghton Mifflin College,791
792,Publicacoes Europa-America,792
793,Seal Press (WA),793
794,Publishamerica,794
795,Walk Worthy Press,795
796,Christian Publications,796
797,Bethany House Publishers,797
798,Upfront Publishing,798
799,Ullstein TB-Vlg,799
800,"Wilhelm Goldmann Verlag, GmbH",800
801,Claassen Verlag,801
802,"Kiepenheuer &amp; Witsch GmbH &amp; Co. KG, Verlag",802
803,Gulliver Books Paperbacks,803
804,Selldowns/no More Orders,804
805,Baen Books,805
806,Simon &amp; Schuster Books,806
807,Fourth Estate Ltd,807
808,Troll Communications,808
809,Plough Publishing House,809
810,Teri Woods Publishing,810
811,Durkin Hayes Publishing Ltd.,811
812,Deseret Book Company,812
813,Simon Spotlight,813
814,Obelisco,814
815,Prime Crime,815
816,Macmillan Pub Co,816
817,Chelsea Green Publishing Company,817
818,Thames &amp; Hudson,818
819,Great Quotations,819
820,10x18,820
821,Fischer Taschenbuch Verlag,821
822,Van Nostrand Reinhold/co Wiley,822
823,TSR,823
824,PublicAffairs,824
825,DaCapo Press,825
826,Fromm Intl,826
827,"Short Books, London",827
828,McGraw-Hill/Dushkin,828
829,Arbor House Pub Co,829
830,BBS Publishing Corporation,830
831,Baldini e Castoldi,831
832,Wunderlich im Rowohlt,832
833,"Heyne GmbH &amp; Co. KG, Verlag",833
834,Bloomsbury,834
835,St Martins Press,835
836,Storey Books,836
837,SunShine Press Publications,837
838,Owl Books (NY),838
839,Macmillan Pub Ltd,839
840,Adelphi,840
841,"Farrar, Straus and Giroux (BYR)",841
842,Sweet Valley,842
843,American Girl,843
844,Kids Books Inc,844
845,Little Apple,845
846,Maverick Books,846
847,North Point Press,847
848,Editorial Laertes,848
849,HCI Teens,849
850,Greenery Press (CA),850
851,Sybex,851
852,Plaza &amp; JanÃ©s Editores,852
853,Scribner Book Company,853
854,Triumph Books,854
855,Caminho,855
856,Phaidon Press,856
857,Conari Press,857
858,Tor Science Fiction,858
859,Worldwide Library,859
860,"iUniverse, Inc.",860
861,The Penguin Press HC,861
862,Paul Dry Books,862
863,Hill and Wang,863
864,Robin Book,864
865,"Espasa Calpe Mexicana, S.A.",865
866,Santillana Publishing Co Inc,866
867,Mercure de France,867
868,B. Grasset,868
869,Lgf,869
870,Jouvence,870
871,Pocket (FR),871
872,Counterpoint Press,872
873,Prima Lifestyles,873
874,Random House~trade,874
875,Orion mass market paperback,875
876,Ten Speed Press,876
877,Dial Press,877
878,Naval Institute Press,878
879,Greenhill Books,879
880,Montana Historical Society,880
881,Scarborough House Publishers,881
882,French &amp; European Pubns,882
883,Random House Trade,883
884,Thames and Hudson,884
885,Franklin Watts,885
886,Bedford/St. Martin's,886
887,Da Capo Press,887
888,Dk Pub,888
889,MJF Books,889
890,Research &amp; Education Association,890
891,Prelude Press,891
892,W. SÃ¶derstrÃ¶m,892
893,Chronicle Books,893
894,Southwest Parks &amp; Monuments Association,894
895,Faber Paperbacks,895
896,Lethe Press,896
897,Little Brown Company,897
898,Sceptre,898
899,R. Laffont,899
900,Penguin Uk,900
901,Emece Editores,901
902,Mondadori (IT),902
903,Barnes Noble,903
904,Seven Stories Press,904
905,Grove/Atlantic,905
906,Amereon Ltd,906
907,Greenwillow,907
908,Fourth Estate,908
909,Running Press Book Publishers,909
910,Loveswept,910
911,Transworld Publishers (Division of Random House Australia),911
912,Astran Inc,912
913,J.M. Dent &amp; Sons,913
914,Bard Press (TX),914
915,Fitzhenry &amp; Whiteside Limited,915
916,Rodale Press,916
917,Ultramarine Pub Co,917
918,H. Hamilton,918
919,Stoddart,919
920,Domain,920
921,Oetinger Verlag,921
922,American Philological Association,922
923,Shelter Publications,923
924,Odyssey Classics,924
925,Tusquets Editores,925
926,Huerga &amp; Fierro,926
927,GÃ?Â¼tersloher Verlagshaus,927
928,Arango Editores,928
929,Carl Hanser,929
930,Droemer Knaur,930
931,Eos (HarperCollins),931
932,Headline,932
933,Orion,933
934,Lb May &amp; Assoc Inc,934
935,Sagebrush Education Resources,935
936,Addison-Wesley Pub Co (Sd),936
937,Editions du ChÃ?Âªne,937
938,"Henry Holt &amp; Company, Inc.",938
939,Fodor's Travel Publications,939
940,Editorial Barcanova,940
941,Mateos Ediciones,941
942,La Campana,942
943,Courage Books,943
944,Disney Pr,944
945,Brimax Books Ltd,945
946,Unicorn Publishing House,946
947,"Unicorn Publishing House, The Incorporated",947
948,Rutledge Hill Press,948
949,Glowworm Books Ltd,949
950,Macmillan General Reference,950
951,Park Lane,951
952,Anvil Press,952
953,Three Rivers Press (CA),953
954,Chicago Review Press,954
955,Philomel Books,955
956,Doubleday Books for Young Readers,956
957,Grafton Books,957
958,Pelican Publishing Company,958
959,Hodder &amp; Stoughton,959
960,Berkley Pub Group (Mm),960
961,Ediciones Urano,961
962,Price Stern Sloan Pub (J),962
963,Key Porter Books,963
964,Princeton University Press,964
965,Lonely Planet Publications,965
966,Iowa State Press,966
967,Tyndale Kids,967
968,Broadview Press,968
969,Coconut Info,969
970,Promise Press,970
971,Longman,971
972,Turnkey Press,972
973,Douglas &amp; McIntyre,973
974,Random House Childrens Pub,974
975,Sirio,975
976,Piramide,976
977,Destino Ediciones,977
978,Summit Books,978
979,A. J. Muste Memorial Institute,979
980,Canongate Books,980
981,Scholastic Paperbacks (T),981
982,Amistad,982
983,Meisha Merlin Pub,983
984,Vintage Canada,984
985,Perseus Publishing,985
986,Johns Hopkins University Press,986
987,Writers Club Press,987
988,Warner Books Inc,988
989,HarperBusiness,989
990,Invincible Books,990
991,Cliffs Notes,991
992,Octopus Publising Group Plc,992
993,Herald Press (PA),993
994,Santillana S.A.,994
995,Walker &amp; Company,995
996,Planeta,996
997,Edicions El Jonc,997
998,Virus,998
999,"Editorial Planeta, S.A.",999
1000,Omega,1000
1001,Trafalgar Square Publishing,1001
1002,Monarch Notes,1002
1003,Alfaguara/Santillana USA,1003
1004,"Editorial Planeta, S.A. (Barcelona)",1004
1005,Akanos,1005
1006,Vital Issues Press,1006
1007,Harvest House Publishers,1007
1008,Ulverscroft Large Print,1008
1009,Warner Business Books,1009
1010,Franckh-Kosmos Verlag,1010
1011,Heinemann Educational Books - Secondary Division,1011
1012,Learning Curve,1012
1013,Harper Row,1013
1014,Howell Books,1014
1015,Akirim Press,1015
1016,Thomson Learning,1016
1017,Lyre-Bird Books,1017
1018,Sasquatch Books,1018
1019,Shadow Mountain,1019
1020,Editorial Seix Barral,1020
1021,Paraclete Press (MA),1021
1022,Gary &amp; Gloria Meier,1022
1023,Nijgh &amp; Van Ditmar,1023
1024,Orbit Book Co,1024
1025,Vahlen,1025
1026,BRAVA,1026
1027,Masthof Pr,1027
1028,August House Pub Inc,1028
1029,Ammann,1029
1030,Beck,1030
1031,Mitteldeutscher Verlag,1031
1032,Janus,1032
